Job_title,Company,State,City,Min_Salary,Max_Salary,Rating,Date_Posted,Valid_until,Job_Type
Senior Data Scientist - Underwriting Algorithms,Faire,California,San Francisco,151875,170407,4.3,2020-05-06,2020-06-05,FULL_TIME
Data Scientist,GovTech,California,San Francisco,78594,147225,3.6,2020-05-01,2020-06-05,FULL_TIME
Data Scientist,Triplebyte,California,San Francisco,145000,225000,3.6,2020-04-28,2020-06-05,FULL_TIME
Data Scientist,Notion Labs,California,San Francisco,105765,142959,5.0,2020-05-04,2020-06-05,FULL_TIME
Data Scientist,Seen by Indeed,California,San Francisco,110377,143329,0.0,2020-04-25,2020-06-05,FULL_TIME
Senior Data Scientist,Autodesk,California,San Francisco,163578,182543,4.0,2020-05-01,2020-06-05,FULL_TIME
Data Scientist,Formation,California,San Francisco,119642,135250,3.1,2020-04-29,2020-06-05,FULL_TIME
Director of Data,Strava,California,San Francisco,84400,167186,4.4,2020-05-05,2020-06-05,FULL_TIME
Data Scientist,Duetto,California,San Francisco,108809,173353,4.4,2020-04-24,2020-06-05,FULL_TIME
Data Scientist,Demandbase,California,San Francisco,148171,160387,4.5,2020-04-29,2020-06-05,FULL_TIME
Data Scientist - Financials Team,Balyasny Asset Management,California,San Francisco,175846,278436,3.8,2020-05-01,2020-06-05,FULL_TIME
"Associate Director, Data Science",Veracyte,California,South San Francisco,105899,139956,3.5,2020-04-24,2020-06-05,FULL_TIME
Data Scientist,Centraprise,California,Foster City,116415,143186,4.2,2020-05-02,2020-06-05,FULL_TIME
Data Scientist,Upstart,California,San Mateo,124204,139717,4.0,2020-04-24,2020-06-05,FULL_TIME
Data Scientist - Health Data Analytics,Nuna,California,San Francisco,123766,139185,4.2,2020-04-28,2020-06-05,FULL_TIME
Senior Data Engineer,Scoop,California,San Francisco,131965,161310,4.7,2020-04-25,2020-06-05,FULL_TIME
Staff Data Scientist,Strivr,California,Palo Alto,117566,188203,4.7,2020-04-30,2020-06-05,FULL_TIME
Data Scientist,Unlearn.AI,California,San Francisco,114160,146775,5.0,2020-05-01,2020-06-05,FULL_TIME
Data Scientist,Turn/River Capital,California,San Francisco,110377,145200,5.0,2020-04-30,2020-06-05,FULL_TIME
Data Scientist,University of California San Francisco,California,San Francisco,86334,138021,4.0,2020-04-29,2020-06-05,FULL_TIME
Data Analyst - Asset Management,Maximus Real Estate Partners,California,San Francisco,111709,136321,4.3,2020-04-28,2020-06-05,FULL_TIME
Data Engineer,Rocket Lawyer,California,San Francisco,116784,118008,3.5,2020-04-23,2020-06-05,FULL_TIME
Data Scientist,Descript,California,San Francisco,112157,149698,4.3,2020-05-02,2020-06-05,FULL_TIME
"Data Scientist/Engineer (R code, AWS, Big Data)",Medidata Solutions,California,San Francisco,96286,156031,4.3,2020-04-25,2020-06-05,FULL_TIME
Data Scientist,Divvy Homes,California,San Francisco,117551,142421,0.0,2020-05-01,2020-06-05,FULL_TIME
Data Scientist,Ready Responders,California,San Francisco,94891,154577,4.6,2020-04-24,2020-06-05,FULL_TIME
Data Scientist,Amazon,California,San Francisco,104205,165781,3.9,2020-05-01,2020-06-05,FULL_TIME
Data Scientist,MasterClass,California,San Francisco,119642,138312,3.8,2020-04-25,2020-06-05,FULL_TIME
Data Scientist (Warehouse Automation),SoftBank Robotics,California,San Francisco,114825,153844,3.5,2020-05-06,2020-06-05,FULL_TIME
Data Scientist,Lilt,California,San Francisco,84802,114965,3.9,2020-05-02,2020-06-05,FULL_TIME
Data Scientist,RiskIQ,California,San Francisco,119642,138312,4.0,2020-05-05,2020-06-05,FULL_TIME
Senior Software Engineer - Revenue Data Platform (Revenue Platform),Twitter,California,San Francisco,161055,180140,4.0,2020-04-30,2020-06-05,FULL_TIME
Senior Data Engineer,Upwork,California,San Francisco,151646,156286,3.7,2020-05-02,2020-06-05,FULL_TIME
Data Scientist,Brightidea,California,San Francisco,119642,138312,4.3,2020-04-24,2020-06-05,FULL_TIME
Data Scientist,Trace Data,California,Oakland,105388,135245,3.9,2020-05-01,2020-06-05,FULL_TIME
Data Scientist,Nomis Solutions,California,Brisbane,118964,187172,3.8,2020-04-23,2020-06-05,FULL_TIME
Data Scientist,Observable,California,San Francisco,110377,143329,0.0,2020-05-01,2020-06-05,FULL_TIME
Data Scientist,Eaze,California,San Francisco,89300,144413,3.6,2020-04-23,2020-06-05,FULL_TIME
Data Analyst,Duetto,California,San Francisco,61655,115933,4.4,2020-04-23,2020-06-05,FULL_TIME
Data Science Manager- Health,Twitter,California,San Francisco,171792,206772,4.0,2020-04-30,2020-06-05,FULL_TIME
Data Scientist,Mackin,California,Menlo Park,109941,146400,3.1,2020-05-05,2020-06-05,FULL_TIME
Data Scientist,Appen,California,San Francisco,71317,110221,3.5,2020-04-28,2020-06-05,FULL_TIME
Data Scientist,Schlumberger,California,Berkeley,105544,167398,3.5,2020-04-25,2020-06-05,FULL_TIME
"Data Scientist, Machine Learning - Game Matchmaking",Roblox,California,San Mateo,105112,137701,4.4,2020-05-02,2020-06-05,FULL_TIME
"Data Scientist, Forecasting",Geli,California,San Francisco,108867,138423,2.7,2020-05-06,2020-06-05,FULL_TIME
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Genentech,California,South San Francisco,162444,186754,3.9,2020-05-05,2020-06-05,FULL_TIME
Data Scientist,Sartorius,California,Fremont,81531,130888,3.4,2020-05-05,2020-06-05,FULL_TIME
Data Scientist - Statistician,Aclima,California,San Francisco,116415,145067,4.1,2020-04-29,2020-06-05,FULL_TIME
Senior Data Analyst,Vida (CA),California,San Francisco,96086,118639,3.2,2020-04-24,2020-06-05,FULL_TIME
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",Mentor Graphics,California,Fremont,90195,168427,4.1,2020-04-25,2020-06-05,FULL_TIME
